,b,count,m,maker,model
0,69697143.3412,48,-5565103.35479,Ford,Focus
1,264781547.619,26,-16901488.0952,BMW,X6
2,70889353.1144,48,-4682431.54794,Mazda,BT-50
3,128547634.584,16,-4837357.25938,Mercedes Benz,Clase SLK
4,32154697.1283,48,-1843491.68635,Renault,Logan
5,376496093.75,12,-29283593.75,Mercedes Benz,Clase GL
6,65485881.6276,25,-2157552.40444,Chevrolet,Cheyenne
7,24191876.9716,48,-625788.643533,Peugeot,206
8,38507529.7733,12,-913522.85824,Hyundai,H100
9,33433390.411,14,-2213527.39726,Fiat,Fiorino
10,95467323.9437,8,-7102112.67606,Nissan,Juke
11,57933333.3333,7,1483333.33333,Mitsubishi,Eclipse
12,163566120.219,12,-8218032.78689,Jeep,Rubicon
13,182403620.031,26,-7595372.10604,Land Rover,Discovery
14,-17299814.1264,14,1821375.46468,Ford,F-350
15,19335294.1176,5,-491176.470588,Lada,Niva
16,-43845744.6809,10,1026595.74468,Chevrolet,Apache
17,61834097.6645,48,-5291242.03822,Kia,Cerato Pro
18,18330434.7826,6,-413043.478261,Citroën,Xsara
19,8483535.76478,31,-72361.6925303,Renault,R9
20,72132206.5728,48,-6690665.81306,Chevrolet,Tracker
21,22559.8526703,6,428637.200737,Mazda,121
22,68378687.6907,48,-3770778.22991,Chevrolet,Captiva
23,57990813.8988,48,-3467897.03609,Volkswagen,Jetta
24,41918297.3316,15,-1797013.97713,Citroën,Xsara Picasso
25,79164159.1592,18,-4524324.32432,Volvo,C30
26,85807728.9377,15,-8037472.52747,Citroën,DS3
27,22727055.5252,48,-1139261.48796,Chevrolet,Spark
28,124434194.822,48,-3004386.91064,Toyota,Land Cruiser
29,38626923.0769,10,-2776923.07692,Hafei,Zhongyi
30,190500000.0,5,-7613207.54717,Mercedes Benz,Clase CLK
31,60287764.7059,42,-15191882.3529,Hyundai,Grand i10
32,88091801.9569,48,-6710707.63209,Ford,Fusion
33,88719435.8974,12,-3406512.82051,Subaru,Legacy
34,44864557.0048,16,-309041.062802,Brilliance,V5
35,22617965.635,48,-623268.348203,Mazda,323
36,41712534.2336,48,-1469414.14466,Suzuki,Swift
37,50573682.1705,9,-3415387.5969,Volkswagen,Saveiro
38,68042553.1915,11,-5361702.12766,Mahindra,Pick Up
39,37330725.873,13,-333640.362936,Jeep,CJ
40,37619433.3654,48,-1702713.51946,Nissan,Tiida
41,48036422.4138,23,-2647836.2069,Great Wall,Haval
42,258564377.957,10,899590.84516,Porsche,911
43,55446126.7606,9,-1004577.46479,Daihatsu,F20
44,64547546.7881,6,-2237481.03187,Mitsubishi,Space Wagon
45,49779411.7647,14,-4621176.47059,MG,MG3
46,151538584.827,48,-10822521.6669,Audi,Q5
47,94495662.445,48,-4677833.19115,BMW,Serie 1
48,108192134.831,7,-6001123.59551,Kia,Mohave
49,118730368.174,48,-6981854.87192,Toyota,Hilux
50,116094973.764,20,-2457325.3245,Toyota,FJ Cruiser
51,332090924.37,5,-8856932.77311,Mercedes Benz,Clase G
52,64119877.7418,48,-2966495.8648,Ssangyong,Korando
53,46864000.0,7,-1474666.66667,Peugeot,405
54,61987685.0127,48,-3155780.97789,Chevrolet,Grand Vitara
55,115130252.338,48,-2973892.93532,Jeep,Wrangler
56,44570175.4386,6,-2921052.63158,Fiat,Punto
57,41712534.2336,48,-1469414.14466,Chevrolet,Swift
58,11500000.0,5,-30434.7826087,Daewoo,Damas
59,54610638.3499,48,-2626713.31751,Toyota,Corolla
60,14489841.2698,19,-312751.322751,Daewoo,Cielo
61,38568800.4032,29,-4292167.33871,Suzuki,Celerio
62,131614707.777,19,-5217137.59779,Audi,TT
63,54364481.0575,48,-1678866.32502,Mitsubishi,Montero
64,59086301.3699,14,-3217808.21918,Renault,Mégane III
65,29857751.4309,16,-1234611.61079,Daihatsu,Sirion
66,28380526.9321,21,-1003155.7377,Nissan,Almera
67,130600000.0,10,8600000.0,BMW,M2
68,93018556.701,23,-8060824.74227,Audi,A1
69,-2297561.05047,48,479803.181931,Jeep,Willys
70,75788213.1564,18,-1423951.4777,Mercedes Benz,Otros Modelos
71,119226500.26,48,-8881326.05304,Ford,Edge
72,23148266.3317,8,-845703.517588,Fiat,Siena
73,13453571.4286,7,-131250.0,Renault,Laguna
74,74780551.233,48,-4023550.04616,Hyundai,Tucson ix-35
75,27117788.4615,7,-949519.230769,Hafei,Ruiyi
76,1475081.08108,5,8850486.48649,Kia,Cadenza
77,84858748.0356,14,-4418878.99424,Mercedes Benz,Clase B
78,114574852.154,17,-5939467.75556,Subaru,Outback
79,36012274.6022,22,-713231.143194,Mazda,B-2600
80,63733321.5979,48,-3465771.6626,Hyundai,Tucson
81,70266762.5459,48,-4522276.62179,Ford,EcoSport
82,31115863.3776,17,-1106129.03226,Renault,R19
83,51867230.897,26,-2645054.81728,Volkswagen,Polo
84,5029527.55906,6,167322.834646,Fiat,Topolino
85,221627906.977,8,-8081395.34884,Hummer,H3
86,51802876.7123,11,-3063561.64384,Hyundai,i30
87,97936345.2566,48,-8080311.04199,Mazda,CX5
88,50096614.7444,48,-3324264.74723,Mazda,Mazda 2
89,36148064.8422,37,-390847.714636,Land Rover,Santana
90,21325581.3953,11,-537209.302326,Citroën,Saxo
91,87390000.0,5,87390000.0,Mercedes Benz,Clase GLC
92,55695906.4327,16,-2251461.9883,Seat,Leon
93,167175155.28,22,-10519875.7764,BMW,Serie 4
94,78084112.1495,25,-2922897.19626,Mitsubishi,L200
95,124838346.929,29,-7698843.31062,Chevrolet,TrailBlazer
96,56992738.2753,14,-2816641.45234,Kia,K2700
97,27508750.0,17,-2394903.84615,BYD,F0
98,67458925.8631,47,-974540.547774,Mini,Cooper
99,13773.1958763,5,303010.309278,Fiat,Tipo
100,197069503.719,48,-10189392.111,BMW,X5
101,30244521.576,27,-1842101.31332,DFM/DFSK,Van Carga
102,-55800000.0,7,2700000.0,Hyundai,Excel
103,-8803508.77193,5,898245.614035,Peugeot,106
104,30426722.3382,48,-1270494.0849,Chevrolet,Aveo Emotion
105,59190088.349,39,-2888100.49696,Ssangyong,Kyron
106,150334416.08,48,-9399237.0892,BMW,X3
107,34447397.0961,19,-915715.372206,Chevrolet,Rodeo
108,88309566.0348,48,-4213474.07175,Audi,A4
109,33954407.391,48,-2189180.32217,Chevrolet,Spark GT
110,233681542.081,48,-17242741.3283,Audi,Q7
111,-23138636.3636,8,1413636.36364,Peugeot,205
112,77825918.0009,48,-2133852.28363,BMW,Serie 3
113,106562063.678,48,-5088472.29853,Toyota,RAV4
114,65376689.2741,48,-4211856.31751,Ssangyong,Actyon
115,120938872.416,48,-3555901.12623,Mercedes Benz,Clase E
116,23601538.4615,6,-1424615.38462,Hafei,Xinyi
117,86370820.6687,6,-6006079.02736,Hyundai,H1
118,49883976.9648,10,-1834518.97019,Hyundai,Sonata
119,106581133.54,48,-5019332.29814,Toyota,Fortuner
120,82772911.9837,28,-5190985.25763,Citroën,C4
121,43859413.2029,10,-666992.665037,Dodge,D-100
122,77080000.0,6,-7090000.0,Peugeot,2008
123,94426485.4149,48,-4974664.40102,Mitsubishi,L200 Sportero
124,63558571.4286,8,-8352857.14286,Citroën,C-Elysée
125,89178095.1548,48,-4486947.20266,Audi,A3
126,118261098.502,33,-6460508.39764,Mazda,CX9
