img,title,price,link,year,kms
https://http2.mlstatic.com/S_Q_NP_744021-MCO20694484375_042016-Y.jpg, Mazda 3 Grandtouring,$ 62.000.000 ,http://articulo.tucarro.com.co/MCO-422682771-mazda-3-skyactive-grandtouring-_JM,2015,"19,000 Km"
https://http2.mlstatic.com/S_Q_NP_490021-MCO20697666154_052016-Y.jpg, Mazda 3 All New Mazda 3,$ 45.800.000 ,http://articulo.tucarro.com.co/MCO-422734725-mazda-mazda-3-all-new-mazda-3-_JM,2012,"36,000 Km"
https://http2.mlstatic.com/S_Q_NP_281021-MCO20696563473_052016-Y.jpg, Mazda 3,$ 33.500.000 ,http://articulo.tucarro.com.co/MCO-422720387-mazda-mazda-3-_JM,2012,"42,800 Km"
https://http2.mlstatic.com/S_Q_NP_160021-MCO20695210318_052016-Y.jpg, Mazda 3 Sd 2000 At Tp Aa Abs Ab,$ 28.800.000 ,http://articulo.tucarro.com.co/MCO-422697166-mazda-mazda-3-sd-2000-at-tp-aa-abs-ab-_JM,2009,"88,860 Km"
https://http2.mlstatic.com/S_Q_NP_122021-MCO20694463145_042016-Y.jpg, Mazda 3,$ 23.500.000 ,http://articulo.tucarro.com.co/MCO-422682367-mazda-mazda-3-_JM,2006,"90,600 Km"
https://http2.mlstatic.com/S_Q_NP_915021-MCO20692798920_042016-Y.jpg, Mazda 3 At 2000cc Fe,$ 31.000.000 ,http://articulo.tucarro.com.co/MCO-422644527-mazda-mazda-3-at-2000cc-fe-_JM,2010,"86,000 Km"
https://http2.mlstatic.com/S_Q_NP_720121-MCO20697944012_052016-Y.jpg, Mazda 3 Grand Touring,$ 65.000.000 ,http://articulo.tucarro.com.co/MCO-422739212-mazda-mazda-3-grand-touring-_JM,2016,"4,300 Km"
https://http2.mlstatic.com/S_Q_NP_147021-MCO20694349184_042016-Y.jpg, Mazda 3 All New,$ 41.500.000 ,http://articulo.tucarro.com.co/MCO-422680701-mazda-mazda-3-all-new-_JM,2011,"84,000 Km"
https://http2.mlstatic.com/S_Q_NP_807021-MCO20694216724_042016-Y.jpg, Mazda 3,$ 35.500.000 ,http://articulo.tucarro.com.co/MCO-422676809-mazda-mazda-3-_JM,2012,"38,000 Km"
https://http2.mlstatic.com/S_Q_NP_109021-MCO20695212163_052016-Y.jpg, Mazda 3 Sport Turing,$ 55.000.000 ,http://articulo.tucarro.com.co/MCO-422697184-mazda-mazda-3-sport-turing-_JM,2015,"9,200 Km"
https://http2.mlstatic.com/S_Q_NP_981021-MCO20694340416_042016-Y.jpg, Mazda 3 All New,$ 44.800.000 ,http://articulo.tucarro.com.co/MCO-422680611-mazda-mazda-3-all-new-_JM,2012,"38,000 Km"
https://http2.mlstatic.com/S_Q_NP_512021-MCO20693334754_042016-Y.jpg, Mazda 3 All New Mt 1600cc Aa,$ 39.200.000 ,http://articulo.tucarro.com.co/MCO-422652412-mazda-mazda-3-all-new-mt-1600cc-aa-_JM,2013,"55,000 Km"
https://http2.mlstatic.com/S_Q_NP_547021-MCO20693287509_042016-Y.jpg, Mazda 3,$ 36.800.000 ,http://articulo.tucarro.com.co/MCO-422651758-mazda-mazda-3-_JM,2014,"45,000 Km"
https://http2.mlstatic.com/S_Q_NP_852021-MCO20694282806_042016-Y.jpg, Mazda 3 All New 2.0 At,$ 40.500.000 ,http://articulo.tucarro.com.co/MCO-422679583-mazda-mazda-3-all-new-20-at-_JM,2012,"29,000 Km"
https://http2.mlstatic.com/S_Q_NP_360021-MLA20698348047_052016-Y.jpg, Mazda 3 Hachtback,$ 30.500.000 ,http://articulo.tucarro.com.co/MCO-422742531-mazda-3-hb-2000-_JM,2010,"55,000 Km"
https://http2.mlstatic.com/S_Q_NP_988021-MCO20689647094_042016-Y.jpg, Mazda 3 Hb,$ 20.000.000 ,http://articulo.tucarro.com.co/MCO-422541856-mazda-mazda-3-hb-_JM,2005,"140,000 Km"
https://http2.mlstatic.com/S_Q_NP_938021-MLA20691084798_042016-Y.jpg, Mazda 3 2006,$ 22.500.000 ,http://articulo.tucarro.com.co/MCO-422574554-mazda-mazda-3-2006-_JM,2006,"107,000 Km"
https://http2.mlstatic.com/S_Q_NP_451021-MCO20690045158_042016-Y.jpg, Mazda 3 All New,$ 47.000.000 ,http://articulo.tucarro.com.co/MCO-422549336-mazda-mazda-3-2014-_JM,2014,"30,000 Km"
https://http2.mlstatic.com/S_Q_NP_786021-MCO20690265196_042016-Y.jpg, Mazda 3 Hatchback,$ 24.500.000 ,http://articulo.tucarro.com.co/MCO-422554064-mazda-mazda-3-hatchback-_JM,2009,"89,000 Km"
https://http2.mlstatic.com/S_Q_NP_474021-MCO20691205203_042016-Y.jpg, Mazda 3 All New,$ 38.000.000 ,http://articulo.tucarro.com.co/MCO-422600016-mazda-3-all-new-_JM,2012,"51,000 Km"
https://http2.mlstatic.com/S_Q_NP_952311-MCO20518845804_122015-Y.jpg, Mazda 3,$ 21.000.000 ,http://articulo.tucarro.com.co/MCO-422655487-mazda-mazda-3-_JM,2005,"177,000 Km"
https://http2.mlstatic.com/S_Q_NP_782911-MCO20671508715_042016-Y.jpg, Mazda 3 Sedan,$ 38.500.000 ,http://articulo.tucarro.com.co/MCO-422652377-mazda-mazda-3-sedan-_JM,2011,"45,000 Km"
https://http2.mlstatic.com/S_Q_NP_964911-MCO20663987210_042016-Y.jpg, Mazda 3 Sedan,$ 26.000.000 ,http://articulo.tucarro.com.co/MCO-422656140-mazda-mazda-3-sedan-_JM,2009,"100,000 Km"
https://http2.mlstatic.com/S_Q_NP_650711-MCO20604991190_022016-Y.jpg, Mazda 3 All New At 2000cc,$ 47.000.000 ,http://articulo.tucarro.com.co/MCO-422528957-mazda-mazda-3-all-new-at-2000cc-_JM,2014,"45,000 Km"
https://http2.mlstatic.com/S_Q_NP_701711-MCO20623127271_032016-Y.jpg, Mazda 3,$ 41.500.000 ,http://articulo.tucarro.com.co/MCO-422655355-mazda-mazda-3-_JM,2011,"84,250 Km"
https://http2.mlstatic.com/S_Q_NP_966911-MCO20666840029_042016-Y.jpg, Nuevo Mazda 3 Touring Sedán,$ 53.500.000 ,http://articulo.tucarro.com.co/MCO-421818470-nuevo-mazda-3-touring-sedan-_JM,2015,"6,600 Km"
https://http2.mlstatic.com/S_Q_NP_714021-MCO20684886674_042016-Y.jpg, Mazda 3 All New Motor 1.6 - 5 Puertas,$ 40.000.000 ,http://articulo.tucarro.com.co/MCO-422448084-mazda-3-all-new-motor-16-5-puertas-_JM,2012,"28,500 Km"
https://http2.mlstatic.com/S_Q_NP_955021-MCO20688685137_042016-Y.jpg, Mazda 3 Hb,$ 20.500.000 ,http://articulo.tucarro.com.co/MCO-422525341-mazda-mazda-3-hb-_JM,2005,"174,000 Km"
https://http2.mlstatic.com/S_Q_NP_792911-MCO20667117205_042016-Y.jpg, Mazda 3 At 1600cc,$ 28.000.000 ,http://articulo.tucarro.com.co/MCO-421822417-mazda-3-at-1600cc-_JM,2010,"85,000 Km"
https://http2.mlstatic.com/S_Q_NP_155021-MCO20679887561_042016-Y.jpg, Mazda 3 All New,$ 44.300.000 ,http://articulo.tucarro.com.co/MCO-422174684-mazda-mazda-3-all-new-_JM,2012,"80,000 Km"
https://http2.mlstatic.com/S_Q_NP_632021-MCO20688687362_042016-Y.jpg, Mazda 3,$ 38.000.000 ,http://articulo.tucarro.com.co/MCO-422525362-mazda-mazda-3-_JM,2014,"33,600 Km"
https://http2.mlstatic.com/S_Q_NP_570021-MCO20688382878_042016-Y.jpg, Mazda 3 Hatchback,$ 25.800.000 ,http://articulo.tucarro.com.co/MCO-422518694-mazda-mazda-3-hatchback-_JM,2009,"68,000 Km"
https://http2.mlstatic.com/S_Q_NP_800021-MCO20686582700_042016-Y.jpg, Mazda 3 All New 1.6 At,$ 43.900.000 ,http://articulo.tucarro.com.co/MCO-422488270-mazda-mazda-3-all-new-16-at-_JM,2013,"43,000 Km"
https://http2.mlstatic.com/S_Q_NP_455021-MCO20684131079_042016-Y.jpg, Mazda 3 At 1600cc,$ 45.000.000 ,http://articulo.tucarro.com.co/MCO-422281723-mazda-mazda-3-2014-_JM,2014,"22,000 Km"
https://http2.mlstatic.com/S_Q_NP_126021-MLA20680969784_042016-Y.jpg, Mazda 3 2013 5p,$ 42.000.000 ,http://articulo.tucarro.com.co/MCO-422164262-mazda-3-2013-5p-_JM,2013,"26,500 Km"
https://http2.mlstatic.com/S_Q_NP_567021-MCO20688681518_042016-Y.jpg, Mazda 3 All New,$ 37.900.000 ,http://articulo.tucarro.com.co/MCO-422525329-mazda-mazda-3-all-new-_JM,2012,"28,000 Km"
https://http2.mlstatic.com/S_Q_NP_738021-MCO20681646546_042016-Y.jpg, Mazda 3 Sedan,$ 31.000.000 ,http://articulo.tucarro.com.co/MCO-422220745-mazda-mazda-3-2011-_JM,2011,"59,000 Km"
https://http2.mlstatic.com/S_Q_NP_394911-MCO20673176084_042016-Y.jpg, Mazda 3,$ 27.000.000 ,http://articulo.tucarro.com.co/MCO-422008231-mazda-mazda-3-_JM,2010,"98,100 Km"
https://http2.mlstatic.com/S_Q_NP_133911-MCO20671634532_042016-Y.jpg, Mazda 3,$ 32.000.000 ,http://articulo.tucarro.com.co/MCO-421969830-mazda-mazda-3-_JM,2011,"43,600 Km"
https://http2.mlstatic.com/S_Q_NP_251911-MCO20670282992_042016-Y.jpg, Mazda 3 All New,$ 47.000.000 ,http://articulo.tucarro.com.co/MCO-421954616-mazda-mazda-3-all-new-_JM,2014,"17,600 Km"
https://http2.mlstatic.com/S_Q_NP_442911-MCO20670038834_042016-Y.jpg, Mazda 3,$ 29.900.000 ,http://articulo.tucarro.com.co/MCO-421941800-mazda-mazda-3-_JM,2010,"73,000 Km"
https://http2.mlstatic.com/S_Q_NP_398911-MCO20660387439_042016-Y.jpg, Mazda 3 All New,$ 41.900.000 ,http://articulo.tucarro.com.co/MCO-421681396-mazda-mazda-3-all-new-_JM,2011,"73,500 Km"
https://http2.mlstatic.com/S_Q_NP_748021-MCO20677911466_042016-Y.jpg, Mazda 3,$ 23.000.000 ,http://articulo.tucarro.com.co/MCO-422115662-mazda-mazda-3-_JM,2007,"112,000 Km"
https://http2.mlstatic.com/S_Q_NP_495021-MCO20686053153_042016-Y.jpg, Mazda 3 Sport Prime Sky Active,$ 51.900.000 ,http://articulo.tucarro.com.co/MCO-422477759-mazda-mazda-3-sport-prime-sky-active-_JM,2016,"1,700 Km"
https://http2.mlstatic.com/S_Q_NP_205911-MCO20676707856_042016-Y.jpg, Mazda 3 Hatch Back,$ 28.900.000 ,http://articulo.tucarro.com.co/MCO-422088371-mazda-mazda-3-hatch-back-_JM,2009,"68,000 Km"
https://http2.mlstatic.com/S_Q_NP_340021-MCO20686656864_042016-Y.jpg, Mazda 3 Grand Touring,$ 61.000.000 ,http://articulo.tucarro.com.co/MCO-422490015-mazda-mazda-3-grand-touring-_JM,2016,"19,000 Km"
https://http2.mlstatic.com/S_Q_NP_407021-MCO20688649329_042016-Y.jpg, Mazda 3 All New,$ 39.900.000 ,http://articulo.tucarro.com.co/MCO-422525001-mazda-mazda-3-all-new-_JM,2011,"44,132 Km"
https://http2.mlstatic.com/S_Q_NP_754021-MCO20678731494_042016-Y.jpg, Mazda 3,$ 40.000.000 ,http://articulo.tucarro.com.co/MCO-422140758-mazda-mazda-3-_JM,2011,"46,500 Km"
https://http2.mlstatic.com/S_Q_NP_911111-MCO20498475298_112015-Y.jpg, Mazda 3,$ 29.500.000 ,http://articulo.tucarro.com.co/MCO-422217108-mazda-mazda-3-_JM,2010,"50,000 Km"
https://http2.mlstatic.com/S_Q_NP_715711-MCO20618509648_032016-Y.jpg, Mazda 3 All New,$ 41.500.000 ,http://articulo.tucarro.com.co/MCO-420822750-mazda-mazda-3-_JM,2013,"43,000 Km"
https://http2.mlstatic.com/S_Q_NP_867911-MCO20659282737_042016-Y.jpg, Mazda 3 2013,$ 39.900.000 ,http://articulo.tucarro.com.co/MCO-422105886-mazda-mazda-3-2013-_JM,2013,"27,500 Km"
https://http2.mlstatic.com/S_Q_NP_430811-MCO20629674740_032016-Y.jpg, Mazda 3 All New,$ 40.000.000 ,http://articulo.tucarro.com.co/MCO-421059652-mazda-mazda-3-all-new-_JM,2011,"45,000 Km"
https://http2.mlstatic.com/S_Q_NP_157611-MCO20623932121_032016-Y.jpg, Mazda 3 Sky Active,$ 50.500.000 ,http://articulo.tucarro.com.co/MCO-420935458-mazda-mazda-3-sky-active-_JM,2015,"10,000 Km"
https://http2.mlstatic.com/S_Q_NP_263711-MCO20619769799_032016-Y.jpg, Mazda 3 Sport 2.0 All New,$ 46.000.000 ,http://articulo.tucarro.com.co/MCO-420840240-mazda-mazda-3-2013-_JM,2013,"28,000 Km"
https://http2.mlstatic.com/S_Q_NP_519611-MCO20620888277_032016-Y.jpg, Mazda 3 All New Hb Tp,$ 43.900.000 ,http://articulo.tucarro.com.co/MCO-420854348-mazda-mazda-3-all-new-hb-tp-_JM,2013,"35,500 Km"
https://http2.mlstatic.com/S_Q_NP_289711-MCO20650920121_032016-Y.jpg, Mazda 3,$ 24.000.000 ,http://articulo.tucarro.com.co/MCO-421482716-mazda-mazda-3-_JM,2008,"85,300 Km"
https://http2.mlstatic.com/S_Q_NP_334511-MCO20570938111_022016-Y.jpg, Mazda 3 Grand Touring,$ 61.500.000 ,http://articulo.tucarro.com.co/MCO-421821852-mazda-mazda-3-grand-touring-_JM,2015,"22,000 Km"
https://http2.mlstatic.com/S_Q_NP_409411-MCO20564381889_012016-Y.jpg, Mazda 3 Mazda 3 2.0 Hb Touring,$ 56.000.000 ,http://articulo.tucarro.com.co/MCO-421453811-mazda-mazda-3-mazda-3-20-hb-touring-_JM,2016,"9,500 Km"
https://http2.mlstatic.com/S_Q_NP_695811-MCO20631210798_032016-Y.jpg, Mazda 3 Grand Touring,$ 60.500.000 ,http://articulo.tucarro.com.co/MCO-421112436-mazda-mazda-3-_JM,2015,"10,739 Km"
https://http2.mlstatic.com/S_Q_NP_18327-MCO20154504993_082014-Y.jpg, Mazda 3 Hb,$ 26.000.000 ,http://articulo.tucarro.com.co/MCO-421428407-mazda-mazda-3-2009-_JM,2009,"75,000 Km"
https://http2.mlstatic.com/S_Q_NP_584021-MCO20693044507_042016-Y.jpg, Mazda 3 Grand Touring,$ 65.500.000 ,http://articulo.tucarro.com.co/MCO-422649453-mazda-3-mod-2015-sky-active-grand-touring-placas-bogota-_JM,2015,"7,670 Km"
https://http2.mlstatic.com/S_Q_NP_399021-MLA20696732365_052016-Y.jpg, Mazda 3 Grand Touring 2015,$ 65.000.000 ,http://articulo.tucarro.com.co/MCO-422714977-mazda-3-grand-touring-2015-_JM,2015,"7,700 Km"
https://http2.mlstatic.com/S_Q_NP_114021-MLA20692816019_042016-Y.jpg, Mazda 3 2011,$ 30.500.000 ,http://articulo.tucarro.com.co/MCO-422643799-mazda-mazda-3-2011-_JM,2011,"63,000 Km"
https://http2.mlstatic.com/S_Q_NP_586021-MCO20698104258_052016-Y.jpg, Mazda 3 2010,$ 28.500.000 ,http://articulo.tucarro.com.co/MCO-422742236-mazda-mazda-3-2010-_JM,2010,"69,000 Km"
https://http2.mlstatic.com/S_Q_NP_472021-MCO20696938266_052016-Y.jpg, Mazda 3 2007,$ 25.000.000 ,http://articulo.tucarro.com.co/MCO-422725654-mazda-mazda-3-2007-_JM,2007,"98,000 Km"
https://http2.mlstatic.com/S_Q_NP_320021-MCO20689200183_042016-Y.jpg, Mazda 3 2007,$ 24.000.000 ,http://articulo.tucarro.com.co/MCO-422536752-mazda-mazda-3-2007-_JM,2007,"102,000 Km"
https://http2.mlstatic.com/S_Q_NP_429021-MCO20691310951_042016-Y.jpg, Mazda 3 2008,$ 26.800.000 ,http://articulo.tucarro.com.co/MCO-422557358-mazda-mazda-3-2008-_JM,2008,"72,000 Km"
https://http2.mlstatic.com/S_Q_NP_476021-MCO20690170789_042016-Y.jpg, Mazda 3 2010,$ 27.000.000 ,http://articulo.tucarro.com.co/MCO-422551502-mazda-mazda-3-2010-_JM,2010,"90,000 Km"
https://http2.mlstatic.com/S_Q_NP_673021-MLA20698336222_052016-Y.jpg, Mazda 3 2009 At 2000 Cc Aa Fe,$ 29.000.000 ,http://articulo.tucarro.com.co/MCO-422693873-mazda-3-2009-at-2000-cc-aa-fe-_JM,2009,"80,400 Km"
https://http2.mlstatic.com/S_Q_NP_220021-MCO20697174492_052016-Y.jpg, Mazda 3 2015,$ 55.500.000 ,http://articulo.tucarro.com.co/MCO-422729013-mazda-mazda-3-2015-_JM,2015,"33,000 Km"
https://http2.mlstatic.com/S_Q_NP_686021-MCO20693274922_042016-Y.jpg, Mazda 3 2008,$ 26.000.000 ,http://articulo.tucarro.com.co/MCO-422651687-mazda-mazda-3-2008-_JM,2008,"75,000 Km"
https://http2.mlstatic.com/S_Q_NP_900121-MCO20693031561_042016-Y.jpg, Mazda 3 1988,$ 6.000.000 ,http://articulo.tucarro.com.co/MCO-422648384-mazda-mazda-3-1988-_JM,1988,"399,000 Km"
