img,title,price,link,year,kms
http://mco-s1-p.mlstatic.com/119811-MCO20671786092_042016-Y.jpg?square=null, Renault Sandero Authentique Mt 1600cc 8v Aa,$ 22.000.000 ,http://articulo.tucarro.com.co/MCO-421972589-renault-sandero-authentique-mt-1600cc-8v-aa-_JM,2012,"46,000 Km"
http://mco-s1-p.mlstatic.com/381911-MCO20671772365_042016-Y.jpg?square=null, Renault Sandero Gt Mt 1600cc 8v Fe,$ 25.000.000 ,http://articulo.tucarro.com.co/MCO-421972411-renault-sandero-gt-mt-1600cc-8v-fe-_JM,2010,"59,500 Km"
http://mco-s1-p.mlstatic.com/390911-MCO20671462992_042016-Y.jpg?square=null, Renault Sandero Dynamique At 1600cc 16v Aa,$ 37.000.000 ,http://articulo.tucarro.com.co/MCO-421966838-renault-sandero-dynamique-at-1600cc-16v-aa-_JM,2016,"6,371 Km"
http://mco-s1-p.mlstatic.com/367911-MCO20670237007_042016-Y.jpg?square=null, Renault Sandero Expression Mt 1600cc 8v Aa,$ 25.500.000 ,http://articulo.tucarro.com.co/MCO-421954007-renault-sandero-expression-mt-1600cc-8v-aa-_JM,2014,"27,000 Km"
http://mco-s1-p.mlstatic.com/684911-MCO20666954640_042016-Y.jpg?square=null, Renault Sandero,$ 33.500.000 ,http://articulo.tucarro.com.co/MCO-421820144-renault-sandero-_JM,2016,"10,700 Km"
http://mco-s1-p.mlstatic.com/434911-MCO20664013525_042016-Y.jpg?square=null, Renault Sandero,$ 28.000.000 ,http://articulo.tucarro.com.co/MCO-421754350-renault-sandero-_JM,2014,"51,000 Km"
http://mco-s2-p.mlstatic.com/981911-MCO20665835839_042016-Y.jpg?square=null, Renault Sandero Expression Mt 1600cc 8v Aa,$ 24.500.000 ,http://articulo.tucarro.com.co/MCO-421802199-renault-sandero-expression-mt-1600cc-8v-aa-_JM,2012,"27,500 Km"
http://mco-s2-p.mlstatic.com/551611-MCO20583986608_022016-Y.jpg?square=null, Renault Sandero Expression Mt 1600cc 8v Aa,$ 34.000.000 ,http://articulo.tucarro.com.co/MCO-421952635-renault-sandero-_JM,2016,"3,500 Km"
http://mla-s1-p.mlstatic.com/674611-MLA20597926192_022016-Y.jpg?square=null, Renault Sandero Gt Line Mt 1600cc 16v Fe,$ 23.000.000 ,http://articulo.tucarro.com.co/MCO-420378309-renault-sandero-gt-line-2011-fe-_JM,2011,"57,865 Km"
http://mco-s1-p.mlstatic.com/307911-MCO20661812563_042016-Y.jpg?square=null, Renault Sandero Dynamique At 1600cc 16v Aa,$ 27.700.000 ,http://articulo.tucarro.com.co/MCO-421705628-renault-sandero-dynamique-at-1600cc-16v-aa-_JM,2012,"31,150 Km"
http://mco-s2-p.mlstatic.com/831911-MCO20661400024_042016-Y.jpg?square=null, Renault Sandero Expression Mt 1600cc 8v Aa,$ 31.200.000 ,http://articulo.tucarro.com.co/MCO-421673493-renault-sandero-2015-expression-mt-1600cc-8v-aa-_JM,2015,"8,555 Km"
http://mla-s1-p.mlstatic.com/489711-MLA20650809568_032016-Y.jpg?square=null, Renault Sandero 2017 Comet,$ 38.500.000 ,http://articulo.tucarro.com.co/MCO-421469171-renault-sandero-2017-comet-_JM,2016,1 Km
http://mco-s1-p.mlstatic.com/774911-MCO20658676903_042016-Y.jpg?square=null, Renault Sandero Gt Line Mt 1600cc 16v,$ 28.000.000 ,http://articulo.tucarro.com.co/MCO-421643914-renault-sandero-gt-line-mt-1600cc-16v-_JM,2012,"32,300 Km"
http://mco-s2-p.mlstatic.com/441511-MCO20559703311_012016-Y.jpg?square=null, Renault Sandero Dynamique At 1600cc 16v,$ 26.000.000 ,http://articulo.tucarro.com.co/MCO-421661034-renault-sandero-dynamique-at-1600cc-16v-_JM,2012,"53,000 Km"
http://mco-s2-p.mlstatic.com/157811-MCO20642543280_032016-Y.jpg?square=null, Renault Sandero Authentique Mt 1600cc 8v Sa,$ 24.000.000 ,http://articulo.tucarro.com.co/MCO-421366164-renault-sandero-authentique-mt-1600cc-8v-sa-_JM,2014,"33,000 Km"
http://mco-s1-p.mlstatic.com/709611-MCO20601478417_022016-Y.jpg?square=null, Renault Sandero 2011,$ 22.500.000 ,http://articulo.tucarro.com.co/MCO-420616915-renault-sandero-2011-_JM,2011,"95,000 Km"
http://mco-s2-p.mlstatic.com/845911-MCO20660696983_042016-Y.jpg?square=null, Renault Sandero Expression Mt 1600cc 8v Aa,$ 20.100.000 ,http://articulo.tucarro.com.co/MCO-421685923-renault-sandero-2010-_JM,2010,"83,700 Km"
http://mco-s1-p.mlstatic.com/703911-MCO20660366371_042016-Y.jpg?square=null, Renault Sandero Authentique Mt 1600cc 8v Aa,$ 22.000.000 ,http://articulo.tucarro.com.co/MCO-421680914-renault-sandero-authentique-mt-1600cc-8v-aa-_JM,2012,"61,000 Km"
